,className,classLink,packageName,packageLink
0,AdRequest.MaxAdContentRating,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.MaxAdContentRating.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
1,AdRequest.TagForUnderAgeOfConsent,https://developers.google.com/android/reference/com/google/android/gms/ads/AdRequest.TagForUnderAgeOfConsent.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
2,RequestConfiguration.MaxAdContentRating,https://developers.google.com/android/reference/com/google/android/gms/ads/RequestConfiguration.MaxAdContentRating.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
3,RequestConfiguration.TagForChildDirectedTreatment,https://developers.google.com/android/reference/com/google/android/gms/ads/RequestConfiguration.TagForChildDirectedTreatment.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
4,RequestConfiguration.TagForUnderAgeOfConsent,https://developers.google.com/android/reference/com/google/android/gms/ads/RequestConfiguration.TagForUnderAgeOfConsent.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
5,MuteThisAdListener,https://developers.google.com/android/reference/com/google/android/gms/ads/MuteThisAdListener.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
6,MuteThisAdReason,https://developers.google.com/android/reference/com/google/android/gms/ads/MuteThisAdReason.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
7,AdListener,https://developers.google.com/android/reference/com/google/android/gms/ads/AdListener.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
8,AdLoader,https://developers.google.com/android/reference/com/google/android/gms/ads/AdLoader.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
9,AdLoader.Builder,https://developers.google.com/android/reference/com/google/android/gms/ads/AdLoader.Builder.html,com.google.android.gms.ads,https://developers.google.com/android/reference/com/google/android/gms/ads/package-summary.html
